==========================================================
 ANALYSIS REPORT: Week 6
==========================================================

0. Solver Configuration
-----------------------

1. Performance Metrics
----------------------
  Objective Value : 6,263,100.00
  RMP Relaxed Value (Root): 261,471.88
  Integrality Gap       : 2295.3245 %
  MIP Best Bound (Final)  : 261,471.88
  Final MIP Gap           : 2295.3245 %
  Total Execution Time    : 255.9106 sec

  [Detailed Timing Breakdown]
  - Pricing Search Total  : 80.1114 s (Pool: 36.80s, Graph: 43.31s)
  - RMP Solving (LP)      : 144.9526 s
  - Final MIP Construction: 30.4774 s

1. Performance Metrics
----------------------
  Objective Value : 6,263,100.00
  RMP Relaxed Value (Root): 261,471.88
  Integrality Gap       : 2295.3245 %
  MIP Best Bound (Final)  : 261,471.88
  Final MIP Gap           : 2295.3245 %
  Execution Time  : 255.9106 sec
  Iterations      : 193
  RMP Time  : 144.9526 s
  MIP Time  : 30.4774 s
  Pool Search Time: 36.8045 s
  Graph Search Time: 43.3068 s
  MIP Decision Variables: 958 (Columns used in Final MIP)
  MIP Filtered Columns  : 3834 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4792
  Pool Hits (Reused from History)   : 1291
  Graph Gen (Newly Created)         : 977
  Pool Hit Rate                     : 56.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  632 / Total Gen: 1260
       -> Avg Length of Unique Patterns: 45.0 hours
  Type: TypeB  | Unique Patterns:  592 / Total Gen: 1776
       -> Avg Length of Unique Patterns: 31.9 hours
  Type: TypeC  | Unique Patterns:  583 / Total Gen: 1748
       -> Avg Length of Unique Patterns: 21.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeA): 45 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeB): 34 hours worked
  Emp 4  (TypeB): 32 hours worked
  Emp 5  (TypeC): 20 hours worked
  Emp 6  (TypeC): 23 hours worked
  Emp 7  (TypeC): 18 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 188,024,000.00  | 24         | 0         
2     | 64,262,166.55   | 24         | 0         
3     | 21,260,193.34   | 24         | 0         
4     | 15,000,773.68   | 24         | 0         
5     | 10,109,704.72   | 24         | 0         
6     | 7,673,609.49    | 24         | 0         
7     | 5,992,899.61    | 24         | 0         
8     | 5,300,961.37    | 24         | 0         
9     | 4,797,120.49    | 24         | 0         
10    | 4,349,008.71    | 24         | 0         
11    | 4,015,214.46    | 24         | 0         
12    | 3,928,765.37    | 24         | 0         
13    | 3,832,058.86    | 20         | 0         
14    | 3,775,081.38    | 13         | 1         
15    | 3,277,870.81    | 22         | 0         
16    | 3,196,709.83    | 24         | 0         
17    | 3,164,879.59    | 18         | 0         
18    | 3,156,134.99    | 0          | 8         
19    | 2,044,337.44    | 18         | 2         
20    | 1,663,436.71    | 24         | 0         
21    | 1,618,043.43    | 20         | 0         
22    | 1,586,066.38    | 17         | 0         
23    | 1,578,256.81    | 0          | 8         
24    | 1,045,144.12    | 24         | 0         
25    | 982,136.99      | 11         | 0         
26    | 965,196.68      | 0          | 8         
27    | 488,881.62      | 24         | 0         
28    | 446,506.57      | 10         | 3         
29    | 307,591.29      | 24         | 0         
30    | 307,070.56      | 9          | 2         
31    | 305,490.53      | 22         | 0         
32    | 305,163.42      | 6          | 5         
33    | 303,098.88      | 24         | 0         
34    | 302,184.38      | 15         | 3         
35    | 300,656.64      | 15         | 3         
36    | 298,953.49      | 21         | 0         
37    | 298,890.13      | 3          | 5         
38    | 296,185.42      | 24         | 0         
39    | 295,915.85      | 12         | 2         
40    | 295,690.60      | 8          | 0         
41    | 295,684.49      | 0          | 8         
42    | 294,160.52      | 21         | 0         
43    | 294,120.19      | 10         | 3         
44    | 292,915.18      | 24         | 0         
45    | 292,739.37      | 9          | 3         
46    | 291,520.90      | 24         | 0         
47    | 291,302.28      | 17         | 0         
48    | 291,256.46      | 13         | 3         
49    | 290,460.32      | 15         | 3         
50    | 288,471.19      | 24         | 0         
51    | 288,340.62      | 11         | 0         
52    | 288,321.93      | 6          | 2         
53    | 287,662.94      | 11         | 3         
54    | 286,631.92      | 22         | 0         
