col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,4,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
1,5,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
2,6,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
3,7,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
4,8,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
5,9,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
6,10,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
7,11,TypeB,35400,000001111110000000000000000000111111110000000000000000000000000000000000000000000000011110000000000000001111111000000000000000000000000000000000000000011111111000000000,0,0
8,0,TypeA,45300,000000111111111000000000000000000000000000000000000000111111111000000000000000001111111100000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0
9,1,TypeA,45300,000000111111111000000000000000000000000000000000000000111111111000000000000000001111111100000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0
10,2,TypeA,45300,000000111111111000000000000000000000000000000000000000111111111000000000000000001111111100000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0
11,3,TypeA,45300,000000111111111000000000000000000000000000000000000000111111111000000000000000001111111100000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0
12,12,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
13,13,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
14,14,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
15,15,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
16,16,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
17,17,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
18,18,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
19,19,TypeC,24400,000001111110000000000000000000000000000000000000000000000000000000011110000000000000000000111111000000000000000000000000000000000000011100000000000000000000111000000000,0,0
20,4,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
21,5,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
22,6,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
23,7,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
24,8,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
25,9,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
26,10,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
27,11,TypeB,42800,000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000011111111000000000000000011111111000000000,0,0
28,4,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
29,5,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
30,6,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
31,7,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
32,8,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
33,9,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
34,10,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
35,11,TypeB,35200,000000011111111000000000000000011111110000000000000011111110000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000001111000000000,0,0
36,0,TypeA,48100,000000000000111111110000000000000000000000000000000000000000000000000000000000111111111100000000000000000111111111100000000000000000011111111000000000001111111111000000,0,0
37,1,TypeA,48100,000000000000111111110000000000000000000000000000000000000000000000000000000000111111111100000000000000000111111111100000000000000000011111111000000000001111111111000000,0,0
38,2,TypeA,48100,000000000000111111110000000000000000000000000000000000000000000000000000000000111111111100000000000000000111111111100000000000000000011111111000000000001111111111000000,0,0
39,3,TypeA,48100,000000000000111111110000000000000000000000000000000000000000000000000000000000111111111100000000000000000111111111100000000000000000011111111000000000001111111111000000,0,0
40,12,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000011111100000000000000000000000000000000011100000000000000000000001111100000,0,0
41,13,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000011111100000000000000000000000000000000011100000000000000000000001111100000,0,0
42,14,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000011111100000000000000000000000000000000011100000000000000000000001111100000,0,0
43,15,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000011111100000000000000000000000000000000011100000000000000000000001111100000,0,0
44,16,TypeC,21800,000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000011111100000000000000000000000000000000011100000000000000000000001111100000,0,0
