==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 10
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 165,300.00
  RMP Relaxed Value (Root): 161,100.00
  Integrality Gap       : 2.6071 %
  MIP Best Bound (Final)  : 165,300.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 237.2225 sec
  Iterations      : 339
  RMP Time  : 151.7689 s
  MIP Time  : 2.7836 s
  Pool Search Time: 23.1496 s
  Graph Search Time: 59.1852 s
  MIP Decision Variables: 1629 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4033
  Pool Hits (Reused from History)   : 324
  Graph Gen (Newly Created)         : 1295
  Pool Hit Rate                     : 20.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  818 / Total Gen:  818
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns:  787 / Total Gen: 1574
       -> Avg Length of Unique Patterns: 34.8 hours
  Type: TypeC  | Unique Patterns:  818 / Total Gen: 1636
       -> Avg Length of Unique Patterns: 24.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 33 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 5          | 0         
2     | 38,158,700.00   | 5          | 0         
3     | 19,198,100.00   | 5          | 0         
4     | 16,532,866.61   | 5          | 0         
5     | 10,363,749.98   | 5          | 0         
6     | 9,447,325.00    | 5          | 0         
7     | 8,597,400.00    | 5          | 0         
8     | 7,863,736.68    | 5          | 0         
9     | 7,463,461.99    | 5          | 0         
10    | 7,135,170.06    | 5          | 0         
11    | 6,673,771.20    | 5          | 0         
12    | 6,512,688.23    | 5          | 0         
13    | 6,371,572.16    | 5          | 0         
14    | 6,274,247.41    | 5          | 0         
15    | 6,126,980.65    | 5          | 0         
16    | 6,084,702.37    | 4          | 1         
17    | 5,580,842.39    | 5          | 0         
18    | 5,121,755.19    | 5          | 0         
19    | 5,002,475.01    | 5          | 0         
20    | 5,002,475.01    | 4          | 1         
21    | 4,540,734.90    | 5          | 0         
22    | 4,288,289.20    | 4          | 1         
23    | 4,002,183.79    | 4          | 1         
24    | 3,938,863.53    | 4          | 1         
25    | 3,730,981.48    | 4          | 1         
26    | 3,675,137.96    | 4          | 1         
27    | 3,663,444.69    | 4          | 1         
28    | 3,609,811.44    | 4          | 1         
29    | 3,576,416.42    | 2          | 3         
30    | 3,364,597.12    | 4          | 1         
31    | 3,313,296.31    | 4          | 1         
32    | 3,265,848.77    | 4          | 1         
33    | 3,218,710.92    | 2          | 3         
34    | 2,150,685.98    | 4          | 1         
35    | 2,127,421.00    | 4          | 1         
36    | 2,117,497.18    | 4          | 1         
37    | 2,096,461.64    | 4          | 1         
38    | 2,085,751.45    | 4          | 1         
39    | 2,073,180.17    | 4          | 1         
40    | 2,071,550.00    | 4          | 1         
