==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 10
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 169,900.00
  RMP Relaxed Value (Root): 161,298.62
  Integrality Gap       : 5.3326 %
  MIP Best Bound (Final)  : 169,900.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 155.5015 sec
  Iterations      : 268
  RMP Time  : 94.6872 s
  MIP Time  : 3.9024 s
  Pool Search Time: 6.0775 s
  Graph Search Time: 50.6087 s
  MIP Decision Variables: 1314 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2105
  Pool Hits (Reused from History)   : 209
  Graph Gen (Newly Created)         : 1095
  Pool Hit Rate                     : 16.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  418 / Total Gen:  418
       -> Avg Length of Unique Patterns: 47.0 hours
  Type: TypeB  | Unique Patterns:  416 / Total Gen:  832
       -> Avg Length of Unique Patterns: 32.9 hours
  Type: TypeC  | Unique Patterns:  425 / Total Gen:  850
       -> Avg Length of Unique Patterns: 23.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 31 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 5          | 0         
2     | 42,163,700.00   | 5          | 0         
3     | 22,199,400.00   | 5          | 0         
4     | 18,530,899.95   | 5          | 0         
5     | 16,697,850.00   | 5          | 0         
6     | 15,947,850.00   | 5          | 0         
7     | 14,199,656.75   | 5          | 0         
8     | 13,406,412.07   | 5          | 0         
9     | 12,201,692.31   | 5          | 0         
10    | 11,716,169.69   | 5          | 0         
11    | 11,637,606.25   | 5          | 0         
12    | 11,434,688.19   | 5          | 0         
13    | 10,925,236.54   | 5          | 0         
14    | 10,781,736.08   | 5          | 0         
15    | 10,700,286.20   | 5          | 0         
16    | 10,696,211.82   | 4          | 1         
17    | 9,375,568.98    | 4          | 1         
18    | 8,600,206.30    | 4          | 1         
19    | 8,370,040.99    | 4          | 1         
20    | 8,195,141.13    | 4          | 1         
21    | 8,016,479.16    | 4          | 1         
22    | 7,881,486.95    | 4          | 1         
23    | 7,744,223.10    | 4          | 1         
24    | 7,397,261.85    | 4          | 1         
25    | 7,233,511.57    | 4          | 1         
26    | 7,197,575.49    | 4          | 1         
27    | 7,197,196.70    | 2          | 3         
28    | 5,802,014.59    | 4          | 1         
29    | 5,464,767.16    | 5          | 0         
30    | 5,377,400.86    | 4          | 1         
31    | 5,131,598.32    | 2          | 3         
32    | 4,549,889.47    | 5          | 0         
33    | 4,409,713.23    | 5          | 0         
34    | 4,330,963.30    | 4          | 1         
35    | 4,296,514.96    | 2          | 3         
36    | 4,067,737.07    | 2          | 3         
37    | 3,801,987.31    | 2          | 3         
38    | 3,367,966.68    | 2          | 3         
39    | 3,171,747.18    | 2          | 3         
40    | 3,070,229.51    | 2          | 3         
