==========================================================
 ANALYSIS REPORT: Week 1
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 8,159,000.00
  RMP Relaxed Value (Root): 8,159,000.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 8,159,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 376.4360 sec
  Iterations      : 241
  RMP Time  : 67.4830 s
  MIP Time  : 0.6965 s
  Pool Search Time: 278.9854 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 979 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 979
  Columns Added to RMP              : 964
  Columns Added to Queue (Backlog)  : 5608658

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:    2 / Total Gen:    2
       -> Avg Length of Unique Patterns: 27.0 hours
  Type: TypeB  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 31.2 hours
  Type: TypeC  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 20.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 29 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
--------------------------------------------------
1     | 11,155,500.00   | 4          | 132741    
2     | 11,155,500.00   | 4          | 131870    
3     | 11,155,500.00   | 4          | 121676    
4     | 11,155,500.00   | 4          | 104377    
5     | 11,155,500.00   | 4          | 100983    
6     | 11,155,500.00   | 4          | 103797    
7     | 11,155,500.00   | 4          | 97308     
8     | 11,155,500.00   | 4          | 81424     
9     | 11,155,500.00   | 4          | 56837     
10    | 10,157,900.00   | 4          | 54050     
11    | 10,157,900.00   | 4          | 38412     
12    | 10,157,900.00   | 4          | 49555     
13    | 10,157,900.00   | 4          | 42559     
14    | 10,157,900.00   | 4          | 38965     
15    | 10,157,900.00   | 4          | 33171     
16    | 10,157,300.00   | 4          | 31651     
17    | 10,157,300.00   | 4          | 37100     
18    | 10,157,300.00   | 4          | 41118     
19    | 10,157,300.00   | 4          | 53450     
20    | 10,157,300.00   | 4          | 40789     
21    | 10,157,300.00   | 4          | 41091     
22    | 10,157,300.00   | 4          | 36798     
23    | 10,157,300.00   | 4          | 33358     
24    | 10,157,300.00   | 4          | 29324     
25    | 10,157,300.00   | 4          | 25764     
26    | 10,157,300.00   | 4          | 25931     
27    | 10,157,300.00   | 4          | 51241     
28    | 10,157,300.00   | 4          | 57430     
29    | 10,157,300.00   | 4          | 48238     
30    | 10,157,300.00   | 4          | 40981     
31    | 10,157,300.00   | 4          | 36183     
32    | 10,157,300.00   | 4          | 30136     
33    | 10,157,300.00   | 4          | 27710     
34    | 10,157,300.00   | 4          | 24305     
35    | 10,157,300.00   | 4          | 23380     
36    | 10,155,500.00   | 4          | 23155     
37    | 10,155,500.00   | 4          | 29437     
38    | 9,656,400.00    | 4          | 22577     
39    | 9,656,400.00    | 4          | 19223     
40    | 9,656,400.00    | 4          | 14985     
41    | 9,656,400.00    | 4          | 11489     
42    | 9,656,400.00    | 4          | 9470      
43    | 9,656,400.00    | 4          | 11175     
44    | 9,656,400.00    | 4          | 29171     
45    | 9,656,400.00    | 4          | 23567     
46    | 9,656,400.00    | 4          | 24333     
47    | 9,656,400.00    | 4          | 14482     
48    | 9,656,400.00    | 4          | 16154     
49    | 9,656,400.00    | 4          | 59782     
50    | 9,656,400.00    | 4          | 47184     
51    | 9,656,400.00    | 4          | 37697     
52    | 9,656,400.00    | 4          | 56963     
53    | 9,656,400.00    | 4          | 44203     
54    | 9,656,400.00    | 4          | 28599     
55    | 9,656,400.00    | 4          | 27168     
56    | 9,656,400.00    | 4          | 24837     
57    | 9,656,400.00    | 4          | 23870     
58    | 9,656,400.00    | 4          | 21261     
59    | 9,656,400.00    | 4          | 21069     
60    | 9,656,400.00    | 4          | 63710     
61    | 9,656,400.00    | 4          | 45181     
62    | 9,656,400.00    | 4          | 31630     
63    | 9,656,400.00    | 4          | 37768     
64    | 9,656,400.00    | 4          | 32162     
65    | 9,656,400.00    | 4          | 30112     
66    | 9,656,400.00    | 4          | 35422     
67    | 9,656,400.00    | 4          | 28769     
68    | 9,656,400.00    | 4          | 24656     
69    | 9,656,400.00    | 4          | 21651     
70    | 9,656,400.00    | 4          | 29136     
