==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 161,400.00
  RMP Relaxed Value (Root): 161,400.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 161,400.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 255.6991 sec
  Iterations      : 101
  RMP Time  : 15.6846 s
  MIP Time  : 0.2218 s
  Pool Search Time: 220.5042 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 389 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 389
  Columns Added to RMP              : 374
  Columns Added to Queue (Backlog)  : 9892529

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  101 / Total Gen:  101
       -> Avg Length of Unique Patterns: 18.1 hours
  Type: TypeB  | Unique Patterns:  162 / Total Gen:  163
       -> Avg Length of Unique Patterns: 16.1 hours
  Type: TypeC  | Unique Patterns:  118 / Total Gen:  120
       -> Avg Length of Unique Patterns: 22.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 28 hours worked
  Emp 2  (TypeB): 31 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
--------------------------------------------------
1     | 161,400.00      | 4          | 84282     
2     | 161,400.00      | 4          | 73191     
3     | 161,400.00      | 4          | 60605     
4     | 161,400.00      | 4          | 48735     
5     | 161,400.00      | 3          | 82736     
6     | 161,400.00      | 5          | 31509     
7     | 161,400.00      | 4          | 25127     
8     | 161,400.00      | 5          | 21552     
9     | 161,400.00      | 5          | 2519      
10    | 161,400.00      | 5          | 1089      
11    | 161,400.00      | 5          | 1262      
12    | 161,400.00      | 5          | 787       
13    | 161,400.00      | 5          | 1628      
14    | 161,400.00      | 5          | 794       
15    | 161,400.00      | 5          | 777       
16    | 161,400.00      | 4          | 140402    
17    | 161,400.00      | 4          | 122671    
18    | 161,400.00      | 4          | 107362    
19    | 161,400.00      | 4          | 105394    
20    | 161,400.00      | 4          | 89496     
21    | 161,400.00      | 3          | 157688    
22    | 161,400.00      | 3          | 109831    
23    | 161,400.00      | 4          | 106910    
24    | 161,400.00      | 4          | 99377     
25    | 161,400.00      | 4          | 80943     
26    | 161,400.00      | 4          | 76477     
27    | 161,400.00      | 4          | 49106     
28    | 161,400.00      | 4          | 50440     
29    | 161,400.00      | 4          | 103861    
30    | 161,400.00      | 4          | 106786    
31    | 161,400.00      | 4          | 73852     
32    | 161,400.00      | 4          | 75812     
33    | 161,400.00      | 4          | 80741     
34    | 161,400.00      | 4          | 76471     
35    | 161,400.00      | 4          | 54523     
36    | 161,400.00      | 4          | 85161     
37    | 161,400.00      | 4          | 74826     
38    | 161,400.00      | 4          | 61776     
39    | 161,400.00      | 4          | 44886     
40    | 161,400.00      | 4          | 37998     
41    | 161,400.00      | 4          | 50293     
