==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 5,167,200.00
  RMP Relaxed Value (Root): 5,167,200.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 5,167,200.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 129.8801 sec
  Iterations      : 137
  RMP Time  : 21.0118 s
  MIP Time  : 0.2297 s
  Pool Search Time: 79.3211 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 586 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 586
  Columns Added to RMP              : 571
  Columns Added to Queue (Backlog)  : 1911165

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:   25 / Total Gen:   25
       -> Avg Length of Unique Patterns: 20.2 hours
  Type: TypeB  | Unique Patterns:  277 / Total Gen:  278
       -> Avg Length of Unique Patterns: 31.2 hours
  Type: TypeC  | Unique Patterns:  277 / Total Gen:  278
       -> Avg Length of Unique Patterns: 22.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 32 hours worked
  Emp 2  (TypeB): 32 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
--------------------------------------------------
1     | 6,166,200.00    | 4          | 67965     
2     | 6,166,200.00    | 4          | 55024     
3     | 6,166,200.00    | 4          | 88604     
4     | 6,166,200.00    | 5          | 38193     
5     | 6,166,200.00    | 5          | 550       
6     | 6,166,200.00    | 5          | 594       
7     | 6,166,200.00    | 5          | 19068     
8     | 6,166,200.00    | 5          | 821       
9     | 6,166,200.00    | 4          | 62690     
10    | 6,166,200.00    | 4          | 44613     
11    | 6,166,200.00    | 4          | 48650     
12    | 6,166,200.00    | 4          | 69430     
13    | 6,166,200.00    | 5          | 45668     
14    | 6,166,200.00    | 5          | 49065     
15    | 6,166,200.00    | 5          | 656       
16    | 6,166,200.00    | 5          | 1927      
17    | 6,166,200.00    | 4          | 61595     
18    | 6,166,200.00    | 5          | 9119      
19    | 6,166,200.00    | 5          | 23046     
20    | 6,166,200.00    | 5          | 671       
21    | 6,166,200.00    | 5          | 510       
22    | 6,166,200.00    | 5          | 4512      
23    | 6,166,200.00    | 5          | 484       
24    | 6,166,200.00    | 4          | 58952     
25    | 6,166,200.00    | 4          | 55212     
26    | 6,166,200.00    | 5          | 10206     
27    | 6,166,200.00    | 5          | 630       
28    | 6,166,200.00    | 5          | 43352     
29    | 6,166,200.00    | 5          | 995       
30    | 6,166,200.00    | 5          | 473       
31    | 6,166,200.00    | 4          | 51301     
32    | 6,166,200.00    | 4          | 52043     
33    | 6,166,200.00    | 5          | 45225     
34    | 6,166,200.00    | 5          | 946       
35    | 6,166,200.00    | 5          | 491       
36    | 6,166,200.00    | 4          | 44244     
37    | 5,167,200.00    | 4          | 46342     
38    | 5,167,200.00    | 4          | 47193     
39    | 5,167,200.00    | 4          | 47912     
40    | 5,167,200.00    | 4          | 46491     
41    | 5,167,200.00    | 4          | 56783     
42    | 5,167,200.00    | 4          | 78859     
43    | 5,167,200.00    | 4          | 17872     
44    | 5,167,200.00    | 4          | 10097     
45    | 5,167,200.00    | 4          | 6187      
46    | 5,167,200.00    | 4          | 12440     
47    | 5,167,200.00    | 4          | 8725      
48    | 5,167,200.00    | 4          | 5685      
49    | 5,167,200.00    | 4          | 4401      
50    | 5,167,200.00    | 4          | 6890      
51    | 5,167,200.00    | 4          | 3067      
52    | 5,167,200.00    | 4          | 3135      
53    | 5,167,200.00    | 4          | 2666      
54    | 5,167,200.00    | 4          | 4248      
55    | 5,167,200.00    | 4          | 4409      
56    | 5,167,200.00    | 4          | 7416      
57    | 5,167,200.00    | 4          | 2430      
58    | 5,167,200.00    | 4          | 1236      
59    | 5,167,200.00    | 4          | 6325      
60    | 5,167,200.00    | 4          | 4854      
61    | 5,167,200.00    | 4          | 5864      
62    | 5,167,200.00    | 4          | 5248      
63    | 5,167,200.00    | 4          | 7351      
64    | 5,167,200.00    | 4          | 4250      
65    | 5,167,200.00    | 4          | 8852      
66    | 5,167,200.00    | 4          | 7179      
67    | 5,167,200.00    | 4          | 4484      
68    | 5,167,200.00    | 4          | 2473      
69    | 5,167,200.00    | 4          | 10161     
70    | 5,167,200.00    | 4          | 6289      
71    | 5,167,200.00    | 4          | 4096      
72    | 5,167,200.00    | 4          | 4393      
73    | 5,167,200.00    | 4          | 6520      
74    | 5,167,200.00    | 4          | 7585      
75    | 5,167,200.00    | 4          | 4800      
76    | 5,167,200.00    | 4          | 9409      
77    | 5,167,200.00    | 4          | 4537      
78    | 5,167,200.00    | 4          | 4429      
79    | 5,167,200.00    | 4          | 3134      
80    | 5,167,200.00    | 4          | 3358      
81    | 5,167,200.00    | 4          | 2888      
82    | 5,167,200.00    | 4          | 3197      
83    | 5,167,200.00    | 4          | 6109      
84    | 5,167,200.00    | 4          | 4987      
85    | 5,167,200.00    | 4          | 5495      
86    | 5,167,200.00    | 4          | 7149      
87    | 5,167,200.00    | 4          | 3822      
88    | 5,167,200.00    | 4          | 2473      
89    | 5,167,200.00    | 4          | 7693      
90    | 5,167,200.00    | 4          | 6365      
91    | 5,167,200.00    | 4          | 4829      
92    | 5,167,200.00    | 4          | 3598      
93    | 5,167,200.00    | 4          | 2601      
94    | 5,167,200.00    | 4          | 1910      
95    | 5,167,200.00    | 4          | 4331      
96    | 5,167,200.00    | 4          | 3119      
97    | 5,167,200.00    | 4          | 5938      
98    | 5,167,200.00    | 4          | 1923      
99    | 5,167,200.00    | 4          | 7807      
100   | 5,167,200.00    | 4          | 9620      
101   | 5,167,200.00    | 4          | 7942      
102   | 5,167,200.00    | 4          | 5755      
103   | 5,167,200.00    | 4          | 4070      
104   | 5,167,200.00    | 4          | 8661      
105   | 5,167,200.00    | 4          | 4645      
106   | 5,167,200.00    | 4          | 3466      
107   | 5,167,200.00    | 4          | 7804      
108   | 5,167,200.00    | 4          | 7436      
109   | 5,167,200.00    | 4          | 5041      
110   | 5,167,200.00    | 4          | 4820      
111   | 5,167,200.00    | 4          | 4322      
112   | 5,167,200.00    | 4          | 6695      
113   | 5,167,200.00    | 4          | 5735      
114   | 5,167,200.00    | 4          | 3325      
115   | 5,167,200.00    | 4          | 6263      
116   | 5,167,200.00    | 4          | 1599      
117   | 5,167,200.00    | 4          | 1370      
118   | 5,167,200.00    | 4          | 2087      
119   | 5,167,200.00    | 4          | 1662      
120   | 5,167,200.00    | 4          | 5124      
121   | 5,167,200.00    | 4          | 6183      
122   | 5,167,200.00    | 4          | 3545      
123   | 5,167,200.00    | 4          | 6116      
124   | 5,167,200.00    | 4          | 7427      
125   | 5,167,200.00    | 4          | 5447      
126   | 5,167,200.00    | 4          | 2255      
127   | 5,167,200.00    | 4          | 2696      
128   | 5,167,200.00    | 4          | 12513     
129   | 5,167,200.00    | 4          | 9408      
130   | 5,167,200.00    | 4          | 6162      
131   | 5,167,200.00    | 4          | 5187      
132   | 5,167,200.00    | 4          | 6867      
133   | 5,167,200.00    | 4          | 10633     
134   | 5,167,200.00    | 4          | 9111      
135   | 5,167,200.00    | 4          | 7866      
136   | 5,167,200.00    | 4          | 4766      
137   | 5,167,200.00    | 4          | 3707      
