==========================================================
 ANALYSIS REPORT: Week 11
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 15
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 2,185,700.00
  RMP Relaxed Value (Root): 740,990.90
  Integrality Gap       : 194.9699 %
  MIP Best Bound (Final)  : 2,185,700.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 214.5172 sec
  Iterations      : 266
  RMP Time  : 100.6776 s
  MIP Time  : 13.8853 s
  Pool Search Time: 58.4399 s
  Graph Search Time: 41.2182 s
  MIP Decision Variables: 1234 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 9856
  Pool Hits (Reused from History)   : 405
  Graph Gen (Newly Created)         : 819
  Pool Hit Rate                     : 33.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 2053 / Total Gen: 2053
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns: 1833 / Total Gen: 3666
       -> Avg Length of Unique Patterns: 36.2 hours
  Type: TypeC  | Unique Patterns: 2066 / Total Gen: 4132
       -> Avg Length of Unique Patterns: 24.4 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 109,012,000.00  | 5          | 0         
2     | 45,174,600.00   | 5          | 0         
3     | 24,201,200.00   | 5          | 0         
4     | 15,700,650.00   | 5          | 0         
5     | 13,199,666.69   | 5          | 0         
6     | 11,534,733.28   | 5          | 0         
7     | 11,200,470.00   | 5          | 0         
8     | 9,781,615.81    | 5          | 0         
9     | 8,976,046.66    | 5          | 0         
10    | 8,531,539.66    | 5          | 0         
11    | 8,389,130.74    | 5          | 0         
12    | 8,006,016.73    | 5          | 0         
13    | 7,764,480.21    | 5          | 0         
14    | 7,647,153.93    | 5          | 0         
15    | 7,209,324.68    | 5          | 0         
16    | 6,962,904.88    | 5          | 0         
17    | 6,703,313.22    | 5          | 0         
18    | 6,561,482.70    | 5          | 0         
19    | 6,178,530.28    | 5          | 0         
20    | 6,011,189.78    | 5          | 0         
21    | 5,936,111.66    | 5          | 0         
22    | 5,818,292.65    | 5          | 0         
23    | 5,816,152.16    | 5          | 0         
24    | 5,663,712.81    | 5          | 0         
25    | 5,571,223.83    | 5          | 0         
26    | 5,497,154.93    | 5          | 0         
27    | 5,446,622.39    | 5          | 0         
28    | 5,428,460.26    | 5          | 0         
29    | 5,369,092.60    | 5          | 0         
30    | 5,358,701.12    | 4          | 1         
31    | 5,297,954.81    | 5          | 0         
32    | 5,261,432.68    | 5          | 0         
33    | 5,206,055.33    | 4          | 1         
34    | 5,007,922.86    | 4          | 1         
35    | 4,720,761.96    | 5          | 0         
36    | 4,678,700.62    | 5          | 0         
37    | 4,676,845.95    | 5          | 0         
38    | 4,667,682.38    | 5          | 0         
39    | 4,660,770.28    | 4          | 1         
40    | 4,466,312.89    | 5          | 0         
41    | 4,441,152.69    | 4          | 1         
42    | 4,390,617.76    | 4          | 1         
43    | 4,210,766.97    | 4          | 1         
44    | 4,181,715.05    | 4          | 1         
45    | 4,163,887.07    | 4          | 1         
46    | 4,139,671.46    | 4          | 1         
47    | 4,129,527.70    | 4          | 1         
48    | 4,124,515.93    | 2          | 3         
49    | 3,674,414.21    | 4          | 1         
50    | 3,655,242.24    | 4          | 1         
51    | 3,626,658.36    | 5          | 0         
52    | 3,603,502.16    | 4          | 1         
53    | 3,486,568.47    | 4          | 1         
54    | 3,482,417.57    | 4          | 1         
55    | 3,480,425.50    | 2          | 3         
56    | 3,075,927.79    | 5          | 0         
57    | 3,040,334.15    | 4          | 1         
58    | 2,933,959.57    | 4          | 1         
59    | 2,933,556.97    | 2          | 3         
60    | 2,662,797.99    | 5          | 0         
61    | 2,603,136.39    | 2          | 3         
62    | 2,512,691.82    | 5          | 0         
63    | 2,493,225.45    | 5          | 0         
64    | 2,487,987.12    | 4          | 1         
65    | 2,355,504.12    | 5          | 0         
66    | 2,352,748.66    | 2          | 3         
67    | 2,230,590.24    | 4          | 1         
68    | 2,204,603.23    | 4          | 1         
69    | 2,200,718.91    | 4          | 1         
70    | 2,164,739.98    | 4          | 1         
71    | 2,147,509.54    | 4          | 1         
72    | 2,147,509.54    | 2          | 3         
73    | 2,115,773.48    | 3          | 2         
74    | 2,106,795.55    | 1          | 4         
75    | 1,945,105.71    | 5          | 0         
76    | 1,937,562.67    | 2          | 3         
77    | 1,897,496.09    | 3          | 2         
78    | 1,850,115.43    | 3          | 2         
79    | 1,809,010.27    | 3          | 2         
80    | 1,808,052.17    | 2          | 3         
81    | 1,763,102.68    | 4          | 1         
82    | 1,656,429.82    | 0          | 5         
83    | 1,598,592.32    | 5          | 0         
84    | 1,596,647.61    | 2          | 3         
85    | 1,531,965.02    | 3          | 2         
86    | 1,524,388.66    | 2          | 3         
87    | 1,457,437.34    | 4          | 1         
88    | 1,424,932.39    | 4          | 1         
89    | 1,424,932.39    | 3          | 2         
90    | 1,382,796.09    | 4          | 1         
91    | 1,370,151.04    | 2          | 3         
92    | 1,367,451.79    | 2          | 3         
93    | 1,338,534.86    | 1          | 4         
94    | 1,338,355.02    | 0          | 5         
95    | 1,281,556.17    | 3          | 2         
96    | 1,261,567.25    | 2          | 3         
97    | 1,255,445.83    | 0          | 5         
98    | 1,221,107.02    | 2          | 3         
99    | 1,208,775.38    | 2          | 3         
100   | 1,193,248.44    | 0          | 5         
101   | 1,177,820.89    | 0          | 5         
102   | 1,177,556.71    | 0          | 5         
103   | 1,132,956.90    | 0          | 5         
104   | 1,107,130.03    | 2          | 3         
105   | 1,085,616.78    | 2          | 3         
106   | 1,074,518.59    | 0          | 5         
107   | 1,055,733.14    | 0          | 5         
108   | 1,030,422.22    | 2          | 3         
109   | 1,026,091.11    | 0          | 5         
110   | 979,750.48      | 2          | 3         
111   | 947,561.20      | 0          | 5         
112   | 939,650.44      | 2          | 3         
113   | 925,519.17      | 0          | 5         
114   | 909,471.83      | 0          | 5         
115   | 897,869.18      | 0          | 5         
116   | 885,614.63      | 0          | 5         
117   | 865,602.81      | 2          | 3         
118   | 860,832.25      | 2          | 3         
119   | 860,190.62      | 2          | 3         
120   | 858,192.38      | 0          | 5         
121   | 855,535.54      | 0          | 5         
122   | 853,595.47      | 0          | 5         
123   | 849,222.52      | 0          | 5         
124   | 846,147.57      | 0          | 5         
125   | 844,257.55      | 0          | 5         
126   | 844,257.55      | 0          | 5         
127   | 844,257.55      | 0          | 5         
128   | 843,000.84      | 0          | 5         
129   | 836,917.77      | 0          | 5         
130   | 834,008.85      | 0          | 5         
131   | 832,553.74      | 0          | 5         
132   | 822,766.52      | 0          | 5         
133   | 819,559.51      | 0          | 5         
134   | 819,181.49      | 0          | 5         
135   | 812,734.57      | 0          | 5         
136   | 803,355.52      | 0          | 5         
137   | 797,332.43      | 0          | 5         
138   | 790,162.38      | 0          | 5         
139   | 775,006.79      | 0          | 5         
140   | 770,989.05      | 0          | 5         
141   | 766,647.09      | 0          | 5         
142   | 765,563.98      | 0          | 5         
143   | 763,018.53      | 0          | 5         
144   | 759,880.03      | 0          | 5         
145   | 758,499.46      | 0          | 5         
146   | 756,752.97      | 0          | 5         
147   | 750,972.34      | 0          | 5         
148   | 750,972.35      | 0          | 5         
149   | 748,009.72      | 0          | 5         
150   | 747,998.39      | 0          | 5         
151   | 746,858.16      | 2          | 3         
152   | 746,858.16      | 0          | 5         
153   | 746,858.16      | 0          | 5         
154   | 746,047.32      | 0          | 5         
155   | 746,047.32      | 0          | 5         
156   | 745,131.80      | 0          | 5         
157   | 745,131.80      | 0          | 5         
158   | 745,112.36      | 0          | 5         
159   | 744,329.24      | 0          | 5         
160   | 744,259.59      | 0          | 5         
161   | 744,244.44      | 0          | 5         
162   | 744,244.44      | 0          | 5         
163   | 744,146.96      | 0          | 5         
164   | 743,998.66      | 0          | 5         
165   | 743,998.66      | 0          | 5         
166   | 743,998.66      | 0          | 5         
167   | 743,998.66      | 0          | 5         
168   | 743,847.16      | 2          | 3         
169   | 743,847.16      | 0          | 5         
170   | 742,549.85      | 0          | 4         
171   | 742,319.97      | 0          | 4         
172   | 742,319.97      | 0          | 5         
173   | 742,319.97      | 0          | 5         
174   | 742,319.97      | 0          | 4         
175   | 742,319.97      | 0          | 4         
176   | 742,319.97      | 0          | 4         
177   | 742,279.49      | 0          | 4         
178   | 742,099.76      | 0          | 5         
179   | 742,099.76      | 0          | 5         
