==========================================================
 ANALYSIS REPORT: Week 9
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 15
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 3,180,800.00
  RMP Relaxed Value (Root): 1,680,150.00
  Integrality Gap       : 89.3164 %
  MIP Best Bound (Final)  : 3,180,800.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 213.6808 sec
  Iterations      : 279
  RMP Time  : 103.2261 s
  MIP Time  : 10.8611 s
  Pool Search Time: 51.1971 s
  Graph Search Time: 48.0960 s
  MIP Decision Variables: 1292 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 8378
  Pool Hits (Reused from History)   : 362
  Graph Gen (Newly Created)         : 920
  Pool Hit Rate                     : 28.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 1761 / Total Gen: 1761
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns: 1546 / Total Gen: 3092
       -> Avg Length of Unique Patterns: 35.9 hours
  Type: TypeC  | Unique Patterns: 1760 / Total Gen: 3520
       -> Avg Length of Unique Patterns: 24.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 102,012,000.00  | 5          | 0         
2     | 39,159,300.00   | 5          | 0         
3     | 23,200,000.00   | 5          | 0         
4     | 17,700,800.00   | 5          | 0         
5     | 14,699,300.00   | 5          | 0         
6     | 13,088,707.39   | 5          | 0         
7     | 12,484,799.98   | 5          | 0         
8     | 11,816,378.68   | 5          | 0         
9     | 11,484,000.04   | 5          | 0         
10    | 10,876,129.41   | 5          | 0         
11    | 10,543,773.27   | 5          | 0         
12    | 10,216,158.51   | 5          | 0         
13    | 9,769,502.76    | 5          | 0         
14    | 9,125,331.62    | 5          | 0         
15    | 8,945,341.01    | 5          | 0         
16    | 8,938,685.25    | 5          | 0         
17    | 8,890,233.88    | 5          | 0         
18    | 8,730,906.41    | 5          | 0         
19    | 8,587,300.80    | 5          | 0         
20    | 8,398,259.79    | 5          | 0         
21    | 8,177,933.42    | 5          | 0         
22    | 8,124,849.33    | 5          | 0         
23    | 8,097,994.64    | 5          | 0         
24    | 8,069,037.38    | 5          | 0         
25    | 8,048,314.87    | 4          | 1         
26    | 7,708,446.52    | 5          | 0         
27    | 7,693,678.42    | 5          | 0         
28    | 7,568,060.21    | 5          | 0         
29    | 7,468,606.46    | 4          | 1         
30    | 7,245,449.14    | 5          | 0         
31    | 7,149,966.52    | 4          | 1         
32    | 6,734,379.63    | 4          | 1         
33    | 6,573,015.78    | 4          | 1         
34    | 6,462,958.56    | 4          | 1         
35    | 6,435,932.08    | 4          | 1         
36    | 6,242,799.81    | 4          | 1         
37    | 6,152,061.61    | 4          | 1         
38    | 6,111,456.27    | 2          | 3         
39    | 5,622,570.96    | 4          | 1         
40    | 5,463,288.40    | 4          | 1         
