==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 5
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 1,169,500.00
  RMP Relaxed Value (Root): 162,047.95
  Integrality Gap       : 621.7000 %
  MIP Best Bound (Final)  : 1,169,500.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 139.7896 sec
  Iterations      : 241
  RMP Time  : 76.5310 s
  MIP Time  : 11.3258 s
  Pool Search Time: 9.1389 s
  Graph Search Time: 42.5950 s
  MIP Decision Variables: 1182 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2616
  Pool Hits (Reused from History)   : 255
  Graph Gen (Newly Created)         : 917
  Pool Hit Rate                     : 21.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  553 / Total Gen:  553
       -> Avg Length of Unique Patterns: 46.9 hours
  Type: TypeB  | Unique Patterns:  485 / Total Gen:  970
       -> Avg Length of Unique Patterns: 34.8 hours
  Type: TypeC  | Unique Patterns:  544 / Total Gen: 1088
       -> Avg Length of Unique Patterns: 24.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 35 hours worked
  Emp 2  (TypeB): 28 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 5          | 0         
2     | 39,170,200.00   | 5          | 0         
3     | 22,195,200.00   | 5          | 0         
4     | 16,796,880.00   | 5          | 0         
5     | 13,198,911.04   | 5          | 0         
6     | 10,865,583.35   | 5          | 0         
7     | 10,279,468.88   | 5          | 0         
8     | 9,667,866.66    | 5          | 0         
9     | 9,006,618.53    | 5          | 0         
10    | 8,067,045.01    | 5          | 0         
11    | 7,398,870.01    | 5          | 0         
12    | 6,381,036.35    | 5          | 0         
13    | 6,255,657.40    | 5          | 0         
14    | 6,199,075.00    | 4          | 1         
15    | 5,526,947.85    | 5          | 0         
16    | 5,259,627.54    | 4          | 1         
17    | 5,083,525.43    | 5          | 0         
18    | 4,536,355.55    | 5          | 0         
19    | 4,497,115.67    | 5          | 0         
20    | 4,396,493.02    | 4          | 1         
21    | 4,200,187.50    | 4          | 1         
22    | 4,019,260.77    | 4          | 1         
23    | 3,944,466.81    | 4          | 1         
24    | 3,905,225.46    | 4          | 1         
25    | 3,794,956.10    | 4          | 1         
26    | 3,745,915.91    | 4          | 1         
27    | 3,599,813.83    | 4          | 1         
28    | 3,574,260.54    | 4          | 1         
29    | 3,551,141.03    | 2          | 3         
30    | 2,976,652.62    | 4          | 1         
31    | 2,944,310.82    | 4          | 1         
32    | 2,936,311.83    | 2          | 3         
33    | 2,822,520.73    | 2          | 3         
34    | 2,495,900.43    | 2          | 3         
35    | 2,399,390.84    | 2          | 3         
36    | 2,292,278.23    | 2          | 3         
37    | 2,242,360.70    | 2          | 3         
38    | 2,073,920.57    | 4          | 1         
39    | 2,046,793.03    | 2          | 3         
40    | 1,951,539.06    | 4          | 1         
