col_id,emp_id,emp_type,cost,schedule_pattern
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,1,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,1,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,2,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,3,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,3,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,4,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,4,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,5,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,5,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,6,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,6,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,7,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,7,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,8,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,8,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,9,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,9,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,0,TypeA,52100,000000000000000000000000000000000000000000000000000000001111111111000000000000011111111110000000000000011111111110000000000000000111111111100000000000011111111110000000
21,1,TypeA,52100,000000000000000000000000000000000000000000000000000000001111111111000000000000011111111110000000000000011111111110000000000000000111111111100000000000011111111110000000
22,2,TypeB,42400,000000000000000000000000000000000111111110000000000000000011111111000000000000000111111110000000000000000111111110000000000000000000000000000000000000000111111110000000
23,3,TypeB,42400,000000000000000000000000000000000111111110000000000000000011111111000000000000000111111110000000000000000111111110000000000000000000000000000000000000000111111110000000
24,4,TypeB,42400,000000000000000000000000000000000111111110000000000000000011111111000000000000000111111110000000000000000111111110000000000000000000000000000000000000000111111110000000
25,5,TypeB,42400,000000000000000000000000000000000111111110000000000000000011111111000000000000000111111110000000000000000111111110000000000000000000000000000000000000000111111110000000
26,6,TypeC,33900,000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000000000000001111110000000000000000001111110000000000000000000111111000000000000
27,7,TypeC,33900,000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000000000000001111110000000000000000001111110000000000000000000111111000000000000
28,8,TypeC,33900,000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000000000000001111110000000000000000001111110000000000000000000111111000000000000
29,9,TypeC,33900,000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000000000000001111110000000000000000001111110000000000000000000111111000000000000
30,2,TypeB,38900,000000000111111110000000000111111000000000111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110000000000000000000000111110
31,3,TypeB,38900,000000000111111110000000000111111000000000111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110000000000000000000000111110
32,4,TypeB,38900,000000000111111110000000000111111000000000111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110000000000000000000000111110
33,5,TypeB,38900,000000000111111110000000000111111000000000111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110000000000000000000000111110
34,6,TypeC,30300,000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000111110000000000000000000000000111110
35,7,TypeC,30300,000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000111110000000000000000000000000111110
36,8,TypeC,30300,000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000111110000000000000000000000000111110
37,9,TypeC,30300,000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000111110000000000000000000000000111110
38,0,TypeA,43400,000000111111111000000000000000000000111111110000000000000000000000000000000000111111110000000000000000000000000000000000000000001111111100000000000000000001111111100000
39,1,TypeA,43400,000000111111111000000000000000000000111111110000000000000000000000000000000000111111110000000000000000000000000000000000000000001111111100000000000000000001111111100000
40,2,TypeB,35400,000000111111110000000000000000000000000000000000000000111111110000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000011111111000
41,3,TypeB,35400,000000111111110000000000000000000000000000000000000000111111110000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000011111111000
42,4,TypeB,35400,000000111111110000000000000000000000000000000000000000111111110000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000011111111000
43,5,TypeB,35400,000000111111110000000000000000000000000000000000000000111111110000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000011111111000
44,2,TypeB,39400,000000000000011111110000000000001111111000000000000000000000011111110000000000000000000000000000000001111111100000000000011111111000000000000000000000000000000000000000
45,3,TypeB,39400,000000000000011111110000000000001111111000000000000000000000011111110000000000000000000000000000000001111111100000000000011111111000000000000000000000000000000000000000
46,4,TypeB,39400,000000000000011111110000000000001111111000000000000000000000011111110000000000000000000000000000000001111111100000000000011111111000000000000000000000000000000000000000
47,5,TypeB,39400,000000000000011111110000000000001111111000000000000000000000011111110000000000000000000000000000000001111111100000000000011111111000000000000000000000000000000000000000
48,6,TypeC,29700,000000000001111110000000000000000011111000000000000000000000011100000000000000000000000000000000000000001111110000000000000001111000000000000000000000000000000000000000
49,7,TypeC,29700,000000000001111110000000000000000011111000000000000000000000011100000000000000000000000000000000000000001111110000000000000001111000000000000000000000000000000000000000
50,8,TypeC,29700,000000000001111110000000000000000011111000000000000000000000011100000000000000000000000000000000000000001111110000000000000001111000000000000000000000000000000000000000
51,9,TypeC,29700,000000000001111110000000000000000011111000000000000000000000011100000000000000000000000000000000000000001111110000000000000001111000000000000000000000000000000000000000
52,6,TypeC,33400,000000001111110000000000000000000000000000000000000000000000001111110000000000000000111110000000000000000000000000000000000000000011111000000000001111110000000000000000
53,7,TypeC,33400,000000001111110000000000000000000000000000000000000000000000001111110000000000000000111110000000000000000000000000000000000000000011111000000000001111110000000000000000
54,8,TypeC,33400,000000001111110000000000000000000000000000000000000000000000001111110000000000000000111110000000000000000000000000000000000000000011111000000000001111110000000000000000
55,9,TypeC,33400,000000001111110000000000000000000000000000000000000000000000001111110000000000000000111110000000000000000000000000000000000000000011111000000000001111110000000000000000
56,6,TypeC,31000,000111111000000000000000000111111000000000000000000000000000000000000000000000000000011111100000000000000000111110000000000001111100000000000000000000000000000000000000
57,7,TypeC,31000,000111111000000000000000000111111000000000000000000000000000000000000000000000000000011111100000000000000000111110000000000001111100000000000000000000000000000000000000
58,8,TypeC,31000,000111111000000000000000000111111000000000000000000000000000000000000000000000000000011111100000000000000000111110000000000001111100000000000000000000000000000000000000
59,9,TypeC,31000,000111111000000000000000000111111000000000000000000000000000000000000000000000000000011111100000000000000000111110000000000001111100000000000000000000000000000000000000
60,0,TypeA,49500,000000001111111110000000000000000000000011111111110000000000000000000000000000111111111000000000000001111111110000000000000000000000000000000000000000000111111110000000
61,1,TypeA,49500,000000001111111110000000000000000000000011111111110000000000000000000000000000111111111000000000000001111111110000000000000000000000000000000000000000000111111110000000
62,2,TypeB,28500,000000000000001111000000000000000011111110000000000000000000000000000000000000001111111000000000000000000000000011110000000000000000111110000000000000000000000000000000
63,3,TypeB,28500,000000000000001111000000000000000011111110000000000000000000000000000000000000001111111000000000000000000000000011110000000000000000111110000000000000000000000000000000
64,4,TypeB,28500,000000000000001111000000000000000011111110000000000000000000000000000000000000001111111000000000000000000000000011110000000000000000111110000000000000000000000000000000
65,5,TypeB,28500,000000000000001111000000000000000011111110000000000000000000000000000000000000001111111000000000000000000000000011110000000000000000111110000000000000000000000000000000
66,2,TypeB,23000,000000000000000000000000000000111110000000000000000000000000011111000000000000111100000000000011110000000000111110000000000000000000000000000000000000000000000000000000
67,3,TypeB,23000,000000000000000000000000000000111110000000000000000000000000011111000000000000111100000000000011110000000000111110000000000000000000000000000000000000000000000000000000
68,4,TypeB,23000,000000000000000000000000000000111110000000000000000000000000011111000000000000111100000000000011110000000000111110000000000000000000000000000000000000000000000000000000
69,5,TypeB,23000,000000000000000000000000000000111110000000000000000000000000011111000000000000111100000000000011110000000000111110000000000000000000000000000000000000000000000000000000
70,2,TypeB,31400,000000000000011110000000000000000000011111110000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111111100000000000000
71,3,TypeB,31400,000000000000011110000000000000000000011111110000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111111100000000000000
72,4,TypeB,31400,000000000000011110000000000000000000011111110000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111111100000000000000
73,5,TypeB,31400,000000000000011110000000000000000000011111110000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111111100000000000000
74,6,TypeC,28500,000000000000011110000000000000000000011110000000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111110000000000000000
75,7,TypeC,28500,000000000000011110000000000000000000011110000000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111110000000000000000
76,8,TypeC,28500,000000000000011110000000000000000000011110000000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111110000000000000000
77,9,TypeC,28500,000000000000011110000000000000000000011110000000000000000000000111110000000000000000000000000000000000000000111110000000000000000000000000000000001111110000000000000000
78,6,TypeC,29300,000000000000000000011111100000000000001111110000000000000000000000000000000000000011111000000000000001111110000000000000000000000000000000000000000000011100000000000000
79,7,TypeC,29300,000000000000000000011111100000000000001111110000000000000000000000000000000000000011111000000000000001111110000000000000000000000000000000000000000000011100000000000000
80,8,TypeC,29300,000000000000000000011111100000000000001111110000000000000000000000000000000000000011111000000000000001111110000000000000000000000000000000000000000000011100000000000000
81,9,TypeC,29300,000000000000000000011111100000000000001111110000000000000000000000000000000000000011111000000000000001111110000000000000000000000000000000000000000000011100000000000000
82,6,TypeC,25400,000000000000000000000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000011110000000000111110000000000011111100000000000000
83,7,TypeC,25400,000000000000000000000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000011110000000000111110000000000011111100000000000000
84,8,TypeC,25400,000000000000000000000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000011110000000000111110000000000011111100000000000000
85,9,TypeC,25400,000000000000000000000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000011110000000000111110000000000011111100000000000000
86,0,TypeA,51600,000000000000000000000000000000001111111110000000000000111111111100000000000000000000000000000000000000011111111110000000000000001111111110000000000011111111110000000000
87,1,TypeA,51600,000000000000000000000000000000001111111110000000000000111111111100000000000000000000000000000000000000011111111110000000000000001111111110000000000011111111110000000000
88,2,TypeB,30800,000000000000000000000000000000000011111110000000000000000000011111110000000000000000011110000000000000000000000011111000000000000000000000000000000011111100000000000000
