col_id,emp_id,emp_type,cost,schedule_pattern
0,0,TypeA,55300,000000001111111111000000000001111111110000000000000000000000000000000000000000000000011111111110000000000000000000000001111111111000000000000000000000000001111111111000
1,1,TypeA,55300,000000001111111111000000000001111111110000000000000000000000000000000000000000000000011111111110000000000000000000000001111111111000000000000000000000000001111111111000
2,2,TypeA,55300,000000001111111111000000000001111111110000000000000000000000000000000000000000000000011111111110000000000000000000000001111111111000000000000000000000000001111111111000
3,3,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
4,4,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
5,5,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
6,6,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
7,7,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
8,8,TypeB,44800,000000001111111100000000001111111100000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000011111111000000000000000000001111111100000
9,9,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
10,10,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
11,11,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
12,12,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
13,13,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
14,14,TypeC,31700,000000000000000000000111111000000000000000000000000000011111100000000000000000000000000000000111110000000000000000000000000000000000111111000000000000000000000000111111
15,0,TypeA,53800,000000000000000000000000000000011111111110000000000011111111110000000000001111111111000000000000000000000111111111100000000000011111111100000000000000000000000000000000
16,1,TypeA,53800,000000000000000000000000000000011111111110000000000011111111110000000000001111111111000000000000000000000111111111100000000000011111111100000000000000000000000000000000
17,2,TypeA,53800,000000000000000000000000000000011111111110000000000011111111110000000000001111111111000000000000000000000111111111100000000000011111111100000000000000000000000000000000
18,3,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
19,4,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
20,5,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
21,6,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
22,7,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
23,8,TypeB,44800,000000000000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000111111110000000000000011111111000000000000000001111111100000000
24,9,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
25,10,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
26,11,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
27,12,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
28,13,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
29,14,TypeC,32900,000000000000000000000000000001111100000000000000000011111100000000000000000000000001111110000000000000001111110000000000000111111000000000000000000000000000000000000000
30,0,TypeA,55800,000000000000000000000000000001111111110000000000011111111100000000000000111111111100000000000000000000011111111110000000000000000000000000000000000000111111111100000000
